music_lover_tip,Register as a Music Lover (Popup),"Register as a Music Lover to support and vote for your favourite artists and songs, and to be considered for the HitHunter contest. The HitHunter contest is held among all platform users registered as Music Lovers and is based on your ability to identify well-performing songs earlier than others.","Зарегистрируйся как любитель музыки, чтобы поддержать своих любимых исполнителей и их песни, а также принять участие в конкурсе ХитХантер. Конкурс ХитХантер проводится среди всех пользователей платформы, зарегистрированных как любители музыки, и основан на твоей способности определять будущие хиты раньше других.","Зареєструйся як фанат музики, щоб підтримати своїх улюблених виконавців та їх пісні, а також взяти участь у конкурсі ХітХантер. Конкурс ХітХантер проводиться серед усіх користувачів платформ, зареєстрованих як фанати музики та на основі твоїх можливостей визначати майбутні хіти раніше інших.",注册为音乐爱好者，以支持和投票你最喜欢的音乐家和歌曲，并被提名为参加HitHunter（追最火的歌曲）竞赛。 所有已注册音乐爱好者可以参加HitHunter竞赛，其依据是你能够比其他人更早地确定表现良好的歌曲。,Music Loverとして登録して、お気に入りのアーティストや曲をサポートして投票し、HitHunterコンテストに参加してください。HitHunterコンテストは、Music Loversとして登録されているすべてのプラットフォームユーザーを対象に開催され、他の曲よりも早くの良い曲を特定する能力に基づいています。 ,"음악 애호가로서 등록하여 좋아하는 아티스트와 노래를 지원하고 투표하며, HitHunter 콘테스트에 참여할 수 있습니다. 히트헌터 경연대회는 뮤직 러버로 등록된 모든 플랫폼 사용자들 사이에서 열리며, 다른 사람들보다 일찍 잘 나가는 노래를 식별하는 능력을 바탕으로 합니다.","Regístrate como amante de la música para votar por sus artistas y canciones favoritos, y ser considerado para el concurso HitHunter. En el concurso HitHunter pueden participar todos los usuarios de la plataforma y se basa en tu capacidad para identificar las canciones con buen rendimiento mejor que otros.",
artist_tip,Register as an Artist (Popup),"Register as an Artist if you wish to be considered for the Djooky Music Awards song contest. Upload your original songs, nominate your songs for the contest, and compete for the prizes. Access the functionality which allows to vote for any song in the contest.","Зарегистрируйся как Артист, если хочешь принять участие в Djooky Music Awards. Загрузи свои оригинальные песни, номинируй их на конкурс и выигрывай призы. А так же, получи доступ к функциям, позволяющим проголосовать за любую песню в конкурсе.","Зареєструйся як артист, якщо ти хочеш взяти участь у Djooky Music Awards. Завантаж оригінальні пісні, номінуй їх на конкурс та вигравай призи. Також, отримай доступ до функцій, що дозволяють проголосувати за любу пісню в конкурсі. ",如果你想参加无界音乐音乐奖大赛，请注册为音乐家。上传你的原曲，提名歌曲参加比赛，并争夺奖品。了解对比赛中的任何歌曲进行投票的功能。,Djooky Music Awardsの歌合戦への参加を希望する場合は、アーティストとして登録してください。オリジナルの曲をアップロードし、コンテストにノミネートして、賞品を競います。コンテストの任意の曲に投票できる機能にアクセスしてください。,"Djooky Music Awards 노래 콘테스트에 참가하려면 아티스트로 등록하십시오. 원곡을 업로드하고, 콘테스트에 노래를 추천하며, 경품을 겨루세요. 콘테스트의 모든 곡에 투표할 수 있는 기능에 액세스합니다.","Regístrate como Artista si deseas ser considerado para el concurso de canciones los Djooky Music Awards. Sube tus canciones originales, nomínalas para el concurso y compite por los premios. Accede a la funcionalidad que permite votar por cualquier canción del concurso.",
done,Done,Done,Сделано,Готово,已完成,完了,완료된,Hecho,
,,,,,,,,,
,,,,,,,,,
,Экран Регистрации,,,,,,,,
music_lover_register,Register as a Music Lover,Register as a Music Lover,Зарегистрироваться как музыкальный фанат,Зареєструватись як фанат музики,注册为音乐爱好者,リスナー登録,뮤직 러버으로 가입,Registrate como fan de música,
artist_register,Register as an Artist,Register as an Artist,Зарегистрироваться как артист,Зареєструватись як артист,注册为音乐家,アーティスト登録,아티스트로 가입,Registrate como artista,
register_with,Register with,Register with,Зарегистрироваться с помощью,Зареєструватись за допомогою,注册为,...で登録,더욱 간편한 등록하기,Registra con,
public_information,Public Information,Public Information,Общедоступная информация,Публічна інформація,新闻,公開情報,공공 정보,Información pública,
username,Username,Username,Имя пользователя,Ім'я користувача,用户名,ユーザー名,아이디,Nombre de usuario,
name,Name,Name,Имя,Ім'я,您的姓名,お名前,이름,Nombre,
private_information,Private Information,Private Information,Личная информация,Особиста інформація,私人信息,個人情報,개인정보,Información privada,
email,Email,Email,Email,Електронна пошта,电子邮箱,メールアドレス,메일,Correo electrónico,
choose_country,Choose country,Choose country,Выбрать страну,Обрати країну,选择国家,国を選択してください,국가선택,Elige país,
,Список стран во вкладке ниже,,,,,,,,
account_security,Account Security,Account Security,Безопасность учетной записи,Безпека аккаунту,账户安全,アカウントのセキュリティ,계정 보안,Seguridad de la cuenta,
password,Password,Password,Пароль,Пароль,密码,パスワード,비밀번호,Contraseña,
reenter_password,Re-enter Password,Re-enter Password,Введите пароль еще раз,Введіть пароль знову ,重新输入密码,パスワード再入力,비밀번호 재확인,Reingresar contraseña,
ok,Ok,Ok,OK,OK,Ok,はい,Ok,Bien,
agree_with,I agree with,I agree with,Я согласен с,Я погоджуюся з,我同意该,同意する,동의함,Estoy de acuerdo con,
terms_and_conditions,Terms and Conditions,Terms and Conditions,Условия,Правилами та Умовими,条款及条件,利用規約,약관,Términos y Condiciones,
privacy_policy,Privacy Policy,Privacy Policy,Политикой конфиденциальности,Політика конфіденційності,隐私政策,プライバシーポリシー,개인정보처리방침,Política de privacidad,
register,Register,Register,Зарегистрироваться,Зареєструватися,现在注册,アカウント登録（無料）,레지스터,Registrarse,
blank_field,This field mustn't be blank,This field mustn't be blank,Это поле не должно быть пустым,Це поле не має бути порожнім,该字段不能为空,これは必須項目です。,이 필드는 비워 둘 수 없습니다.,Este espacio no debe estar vacio,
agree_terns_and_conditions,You must agree Terms and Conditions,You must agree Terms and Conditions,,Ви повинні погодитися з Загальними положеннями та умовами,你需要同意于该条款及条件,諸条件に合意する必要があります。,이용 약관에 동의해야 합니다,Debes aceptar los términos y condiciones,
agree_privacy_policy,You must agree Privacy Policy,You must agree Privacy Policy,Вы должны согласиться с Политикой конфиденциальности,Ви повинні погодитися з Політикою конфіденційності,你需要同意于该条款及条件该隐私政策,プライバシーポリシーに合意する必要があります。,개인 정보 보호 정책에 동의해야 합니다,Debe aceptar la Política de privacidad,
,Achievements onbording,,,,,,,,
win_up_to_1000,"Win up to $1,000 with our revolutionary HitHunter feature!","Win up to $1,000 with our revolutionary HitHunter feature!","Попробуй свои силы в нашей революционной функции HitHunter и выигрывай до $1,000!",Спробуй нашу революційну функцію HitHunter та вигравай до $1000 ,"使用我们革命性的 HitHunter 功能赢取 1,000 美元的奖金！",,"혁신적인 HitHunter 기능으로 최고 1,000달러를 받으세요!","¡Gane hasta $ 1,000 con nuestra revolucionaria función HitHunter!",
choose_song_which_you_consider,Choose a song which you consider to be a hit,Choose a song which you consider to be a hit,Выбери песню которую считаешь потенциальным хитом,"Обери пісню, яку вважаєш потенційним хітом",选择一首你认为很受欢迎的歌曲,,히트곡이라고 생각되는 노래를 고르세요,Elige una canción que consideres un éxito,
tap_on_the_hithunter_button,Tap on the HitHunter button,Tap on the HitHunter button,Кликни на кнопку HitHunter,Клікни на кнопку HitHunter,点击 HitHunter 按钮,,HitHunter 버튼을 누릅니다,Toque el botón HitHunter,
giive_the_song_points,Give the song anywhere from 1 to 100 Hit Points (HP),Give the song anywhere from 1 to 100 Hit Points (HP),Оцени песню от 1 до 100 HitPoint (HPs),Оціни пісню від 1 до 100 Hit Points (HP),为歌曲提供 1 到 100 支持点(HP),,Hit Points (HP)를 1~100까지 제공합니다,Dale a la canción entre 1 y 100 puntos de golpe (HP),
keep_track_of_your_hithunter_skills,Keep track of your HitHunter skills match up against others,Keep track of your HitHunter skills match up against others,Следи за своим прогрессом и сравнивай с другими игроками ,"Слідкуй за тим, як твої навички HitHunter співпадають із іншими гравцями",跟踪你的 HitHunter 技能与其他人的匹配情况,,HitHunter 스킬을 다른 사람과 비교해서 추적합니다,Lleve un registro de sus habilidades HitHunter comparándolas con otras,
start,Start,Start,Начать ,Почати,开始,,시작하기,Comienzo,
,Экран Стрима,,,,,,,,
,"Плашка, когда не залогинен",,,,,,,,
take_part_in_the_DMA,take_part_in_the_DMA,If you are an Artist/Songwriter register to take part in the DMA.,"Если ты артист / автор песен, зарегистрируйся, чтобы принять участие в DMA.","Якщо ти артист / автор пісень, зареєструйся, щоб взяти участь в DMA.",如果您是歌手或作曲家，马上注册并参加无界音乐平台音乐奖。,アーティストとかソングライターの場合は、DMAに参加するために登録してください。,아티스트/작사가인 경우 DMA에 참여하기 위해 등록하세요,"Si eres un artista / compositor, regístrate para participar en el DMA.",
artist_register,Register as an Artist,Register as an Artist,Зарегистрироваться как артист,Зареєструватись як артист,注册为音乐家,アーティスト登録,아티스트로 가입,Registrate como artista,
or,or,or,или,або,要么,または,또는,o,
sign_in,sign_in:,Sign In,Войти,Увійди,请注册,サインイン,로그인,Entrar,
sign_in_or_register,sign_in_or_register:,If you are here to vote for your favourite entry please also sign in OR register as a Music Lover.,"Если ты зашел сюда, чтобы проголосовать за свой любимый трек, войди в систему ИЛИ зарегистрируйся как любитель музыки","Якщо ти тут, щоб проголосувати за улюблену композицію, увійди АБО зареєструйся як фанат музики.",如果您想要为喜欢的歌曲投票，请先登录或注册为音乐爱好者.,お気に入りのアーティストに投票するためにリスナーとしてサインインとか登録してください。,좋아하는 노래 투표하기 위해 로그인하가나 뮤직 러버로 등록하세요.,"Si estás aquí para votar por su entrada favorita, entra o regístrate como fan de música",
stream,Stream,Stream,Стрим,Стрім,在线收听,ストリーミング,스트림,Stream,
season_voting_round,Weekly chart,Weekly chart,Недельный чарт,Тижневий чарт,初步投票,予備投票,주간 투표 라운드,Ronda de votación preliminar,
national_voting_round,National voting round,National voting round,Национальное голосование,Національне голосування,全国投票,国政投票,전국 투표 라운드,Ronda Nacional de Votaciónv,
continental_voting_round,Continental voting round,Continental voting round,Континентальное голосование,Континентальне голосування,洲际投票,大陸投票,대륙별 투표 라운드,Ronda Continental de Votación,
global_voting_round,Global voting round,Global voting round,Глобальное голосование,Глобальне голосування,全球投票,グローバル投票,글로벌 투표 라운드,Ronda Global de Votación,
,,,,,,,,,
,Экран Избранное,,,,,,,,
,"Плашка, когда не залогинен",,,,,,,,
register_as_a_music_lover,register_as_a_music_lover,You can register as a music lover and start voting. Or register as an Artist and take part in the DMA.,Ты можешь зарегистрироваться как любитель музыки и начать голосовать. Или зарегистрируйся как Артист и прими участие в DMA.,Ти можеш зареєструватися як фанат музики і почати голосувати. Або зареєструйся як артист і візьми участь у DMA.,你可以注册为音乐爱好者并开始投票或注册为音乐家并参加比赛。,リスナーとして登録して投票を開始できます。または、アーティストとして登録してDMAに参加しています。,뮤직 라버로 등록하고 투표를 시작할 수 있다. 또는 아티스트로 등록하고 DMA에 참여하십시오.,Puedes registrarte como fan de la música y empezar a votar. O regístrate como Artista y participar en el DMA.,
artist_register,Register as an Artist,Register as an Artist,Зарегистрироваться как артист,Зареєструватись як артист,注册为音乐家,アーティスト登録,아티스트로 가입,Registrate como artista,
music_lover_register,music_lover_register,Register as a Music Lover,Зарегистрироваться как музыкальный фанат,Зареєструватись як фанат музики,注册为音乐爱好者,リスナー登録,뮤직 러버으로 가입,Registrate como fan de música,
favorites,Favorites,Favorites,Избранное,Улюблені,喜欢的,お気に入り,별표편지함,Favoritos,
,,,,,,,,,
,Экран Прогноз,,,,,,,,
,"Плашка, когда не залогинен",,,,,,,,
register_as_a_music_lover,register_as_a_music_lover,You can register as a music lover and start voting. Or register as an Artist and take part in the DMA.,Ты можешь зарегистрироваться как любитель музыки и начать голосовать. Или зарегистрируйся как Артист и прими участие в DMA.,Ти можеш зареєструватися як фанат музики і почати голосувати. Або зареєструйся як артист і візьми участь у DMA.,你可以注册为音乐爱好者并开始投票或注册为音乐家并参加比赛。,リスナーとして登録して投票を開始できます。または、アーティストとして登録してDMAに参加しています。,뮤직 라버로 등록하고 투표를 시작할 수 있다. 또는 아티스트로 등록하고 DMA에 참여하십시오.,Puedes registrarte como fan de la música y empezar a votar. O regístrate como Artista y participar en el DMA.,
artist_register,Register as an Artist,Register as an Artist,Зарегистрироваться как артист,Зареєструватись як артист,注册为音乐家,アーティスト登録,아티스트로 가입,Registrate como artista,
music_lover_register,music_lover_register,Register as a Music Lover,Зарегистрироваться как музыкальный фанат,Зареєструватись як фанат музики,注册为音乐爱好者,リスナー登録,뮤직 러버으로 가입,Registrate como fan de música,
forecast,Charts,Charts,Чарты,Чарти,Charts,Charts,Charts,Charts,
,,,,,,,,,
,Экрна Меню,,,,,,,,
your_profile,Your profile,Your profile,Твой профиль,Твій профіль,你的账户,プロファイル,계정,Tu perfil,
your_songs,Your songs,Your songs,Твои песни,Твої пісні,你的歌曲,曲,노래,Tus canciones,
language,Language,Language,Язык,Мова,语言,言語,언어,Idioma,
,Список языков во вкладке ниже,,,,,,,,
invite_friend,Invite a friend,Invite a friend,Пригласить друга,Запросити друга,邀请朋友,友達招待,친구를 초대하기,Invitar amigo,
notifications,Notification,Notification,Уведомления,Сповіщення,通告,通知,알림,Notificaciones,
,,,,,,,,,
about_djooky,About Djooky,About Djooky,О Djooky,Про Djooky,关于无界音乐平台音乐奖,Djookyについて,주키 정보,Sobre Djooky,
feedback,Feedback,Feedback,Обратная связь,Зворотній зв'язок,反馈信息,フィードバック,피드백,Reacciones,
terms_and_conditions,Terms and Conditions,Terms and Conditions,Условия и положения,Правила та Умови,条款及条件,利用規約,약관,Términos y Condiciones,
logout,Logout,Logout,Выйти,Вийти,登出,ログアウト,로그아웃,Cerrar la sesión,
,,,,,,,,,
,,,,,,,,,
,About Djooky Экран,,,,,,,,
about_djooky_text_1,Vision title,Vision,Виденье,Бачення,愿景,ビジョン,우리 비전입니다,Visión,
about_djooky_text_2,Vision text,"At Djooky, we share a vision of a world where all people with the talent, creativity and passion to make a difference in the world of music will enjoy equal opportunities to get access to the best support available to create and promote their music. A vision of a world where talent knows no borders, and every music lover is invited to directly take part in creating the next big hit.","Виденье Djooky, мы разделяем видение мира, в котором все люди, обладающие талантом, желанием творить и должным энтузиазмом, чтобы изменить мир музыки, будут иметь равные возможностями для получения поддержки, чтобы создавать и продвигать свою музыку. Наше видение предполагает мир, в котором талант не знает границ, и каждый любитель музыки может принять непосредственное участие в создании следующего большого хита.","У Djooky ми поділяємо бачення світу, де всі люди, які мають талант, творчі здібності та пристрасть змінювати світ музики, матимуть рівні можливості отримати доступ до найкращої підтримки для створення та просування своєї музики. Бачення світу, де талант не знає кордонів, і кожному меломану пропонується взяти безпосередню участь у створенні наступного великого хіта.",在无界音乐，我们拥有这样一个愿景：希望所有具有才华、创造力和热情的音乐人都将在音乐世界中脱颖而出，他们将享有平等的机会来推广音乐。这个世界愿景是人才无国界，每个音乐爱好者都能被邀请直接参与创造下一个热门歌曲。,Djookyでは、音楽の世界に変化をもたらす才能、創造性、情熱を持ったすべての人々が、音楽の作成と宣伝に利用できる最高のサポートにアクセスする機会を平等に享受できる世界のビジョンを共有しています。 才能が国境を知らない世界のビジョン、そしてすべての音楽愛好家は、次の大ヒットの作成に直接参加するように招待されています。,"주키에서, 우리는 음악의 세계에 변화를 만들 재능, 창의력, 열정을 가진 모든 사람들이 그들의 음악을 창조하고 홍보할 수 있는 최고의 지원을 받을 수 있는 동등한 기회를 누릴 수 있는 세계에 대한 비전을 공유합니다. 재능은 국경도 모르고, 모든 음악 애호가들은 다음 대박을 터뜨리는 데 직접 참여하도록 초청받는 세계에 대한 비전입니다. ","En Djooky, compartimos la visión de un mundo donde todas las personas con el talento, la creatividad y la pasión para marcar la diferencia en el mundo de la música disfrutan de las mismas oportunidades para acceder al mejor apoyo disponible para crear y promover su música. Una visión de un mundo donde el talento no conoce fronteras, y todos los fans de música están invitados a participar directamente en la creación del próximo gran éxito.",
about_djooky_text_3,Mission title,Mission,Миссия,Місія,我们的任务,使命,우리 미션입니다,Misión,
about_djooky_text_4,Mission text,"Our mission is to democratise the music industry by enabling creative talent from all corners of the world to harness the networked power of the people in spotting, creating and promoting great music. Committed to truly democratic principles, we are working to create technology that allows us to hand the decision-making power from a few to all music lovers who want to join us on our journey in creating a new world of music.","Наша миссия - демократизировать музыкальную индустрию, позволяя талантам со всех уголков мира использовать силу слушателей для выявления, создания и продвижения отличной музыки. Придерживаясь истинно демократических принципов, мы работаем над созданием технологий, которые позволят нам передать право принятия решений в музыкальной индустрии всем слушателям, которые хотят присоединиться к нам в нашем путешествии по созданию нового музыкального мира.","Наша місія - демократизувати музичну індустрію, даючи можливість творчим талантам з усіх куточків світу використовувати мережеву силу людей у пошуку, створенні та просуванні чудової музики. Прихильні справді демократичним принципам, ми працюємо над створенням технології, яка дозволяє нам передавати повноваження від кількох осіб усім меломанам, які хочуть приєднатися до нас у нашій подорожі у створенні нового музичного світу.",我们的任务是通过使世界各地的有创造力的人才能够利用网络力量来发现、创作和推广出色的音乐，从而使音乐产业大众化。我们致力于真正公平民主的原则，创造技术，使我们能够将决定权从少数人转移到所有音乐爱好者，并与我们一起创建新的音乐世界。,私たちの使命は、世界中のクリエイティブな才能が素晴らしい音楽を見つけ、作成し、宣伝する際に人々のネットワーク化された力を利用できるようにすることで、音楽業界を民主化することです。 民主的な原則に取り組んでおり、新しい音楽の世界を創造する旅に参加したい少数の音楽愛好家からすべての音楽愛好家に意思決定力を渡すことができるテクノロジーの作成に取り組んでいます。,"우리의 사명은 세계 각지의 창조적 인재들이 사람들의 네트워크화된 힘을 활용하여 위대한 음악을 발굴하고 창조하고 홍보할 수 있도록 함으로써 음악 산업을 민주화하는 것입니다. 진정한 민주주의 원칙을 위해, 우리는 새로운 음악의 세계를 창조하는 우리의 여정에 동참하기를 원하는 모든 음악 애호가들에게 소수의 결정권을 넘겨줄 수 있는 기술을 창조하기 위해 노력하고 있습니다.","Nuestra misión es democratizar la industria musical permitiendo que el talento creativo de todos los rincones del mundo aproveche el poder de la gente en red para detectar, crear y promover buena música. Comprometidos con principios verdaderamente democráticos, estamos trabajando para crear tecnología que nos permita traspasar el poder de tomar decisiones de unos pocos a todos los amantes de la música.",
,,,,,,,,,
panel_team,PANEL TEAM,PANEL TEAM,Судьи,Cудді,评审团,チームパネル,패널 팀,EQUIPO,
executive_team,EXECUTIVE TEAM,EXECUTIVE TEAM,РУКОВОДЯЩАЯ КОМАНДА,ВИКОНАВЧА КОМАНДА,执行团队,経営陣,임원진,Equipo Ejecutivo,
back,back,Back,Назад,Назад,返回,戻る,뒤로,Atras,
,,,,,,,,,
,My Profile Экран,,,,,,,,
,,This number is already verified,Этот номер уже подтверждён,Цей номер вже підтверджений,该号码已被验证,この電話番号はすでに使用されています。,이 번호는 이미 확인되었습니다.,Este número ya está verificado,
my_profile,my_profile,My profile,Мой профиль,Мій профіль,我的账户,プロフィール,계정,Mi perfil,
become_an_artist,become_an_artist,Become an artist,Cтать артистом,Cтати виконавцем,成为音乐家,アーティストになる,아티스트가 되기,Conviértete en artista,
number,Number,Number,Номер,Номер,手机号码,番号,번호,Número,
first_name,First name,First name,Имя   ,Ім'я,名字,名前,이름,Nombre,Vorname 
last_name,Last name,Last name,Фамилия ,Прізвище,姓,苗字,성,Nombre,Nachname
date_of_birth,date_of_birth,Date of birth,Дата рождения,Дата народження,出生日期,生年月日,생년월일,Fecha de nacimiento,
public_information,public_information,Public Information,Общедоступная информация,Публічна інформація,新闻,公開情報,공공 정보,Información pública,
occupation,occupation,Occupation,Профессия,Рід діяльності,职业,仕事,직업,Ocupación,
about_myself,about_myself,About myself,О себе,Про мене,自我介绍,自己紹介,내 자신에 대한,Sobre mí,
web_social_links,web_social_links,Web & Social links,Ссылки на сайт и социальные сети,Посилання на сайт та соціальні мережі,社交网络平台链接,WEB・ソーシャルリンク,웹사이트 & 소셜 링크,Enlaces web y sociales,
your_website,your_website,Your website,Ваш сайт,Ваш сайт,你的网站,WEBSITE,공식사이트,Tu sitio web,
invalid_link,invalid_link,Invalid link,Неправильная ссылка,Недійсне посилання,无效的链接,不適切なリンク,잘못된 링크입니다,Enlace inválido,
save,Save,Save,Сохранить,Зберегти,保存,セーブ,저장,Salvar,
profile_successfully_updated,profile_successfully_updated,Your profile has been successfully updated,Ваш профиль был успешно обновлен,Ваш профіль було успішно оновлено,你的账户已成功更新,プロフィールが更新に成功しました。,프로파일이 성공적으로 업데이트되었습니다,Tú perfil ha sido actualizado satisfactoriamente,
continue,continue,Continue,Продолжить,Продовжити,继续,続く,계속하기,Continuar,
photos,photos,Photos,Фото,Фото,照片,画像,사진,Fotos,
change_existing_photos,change_existing_photos,Change existing photos,Изменить существующие фотографии,Змінити наявні фотографії,更改现有照片,既存の画像を変更,사진 바꾸기,Cambiar fotos existentes,
enter_valid_link,enter_valid_link,"Please, enter valid link (https://example.com)","Пожалуйста, введите действующую ссылку (https://example.com)","Будь ласка,введіть дійсне посилання (https://example.com)",请输入有效链接（https://example.com）,有効ななリンクを入力してください (https://example.com),올바른 링크(https://example.com)를 입력하십시오,"Por favor, ingrese un enlace válido (https://example.com)",
confirm_file_deletion,confirm_file_deletion,Confirm file deletion,Подтвердите удаление файла,Підтвердити видалення файлу,确认文件删除,ファイル削除をご確認ください。,파일 삭제를 확인합니다,Confirmar la eliminación del archivo,
want_to_delete_file,want_to_delete_file,Are you sure you want to delete this file? Please confirm you action.,"Вы уверенны, что хотите удалить этот файл? Подтвердите свое действие.","Ви впевнені, що хочете видалити цей файл? Будь ласка, підтвердьте свою дію.",你确定要删除此文件吗？请确认一下。,このファイルを本当に退会しますか。 削除をご確認ください。,이 파일을 삭제하시겠습니까? 작업을 확인하십시오.,¿Está seguro de que desea eliminar este archivo? Confirma tu acción.,
yes_delete,,"Yes, delete","Да, удалить","Так, видалити ",是，我想删除一下,はい、削除,"네, 삭제하기","Si, borrar",
cancel,cancel,Cancel,Отменить,Скасувати,取消,キャンセル,취소,Сancelar,
add_photo,add_photo,Add photo,Добавить фото,Додати фото,添加照片,画像を登録,사진 추가,Agregar una foto,
upload_photos_for_media_use,upload_photos_for_media_use,Upload photos for media use,Загрузить фотографии для использования в СМИ,Завантажити фотографії для використання в ЗМІ,上传照片以供媒体使用,メディア用に画像をアップロード,미디어 사용을 위한 사진을 업로드하세요,Sube fotos para uso multimedia,
tap_to_add,tap_to_add,Tap here to add,"Нажмите здесь, чтобы добавить","Натисніть сюди, щоб додати",为了加上点在这,追加するためにこちらでタップください,추가하려면 여기를 누르세요,Toque aquí para agregar,
photo_name,photo_name,Enter name of photo,Введите название фото,Додати назву фото,添加照片的介绍,画像の名を入力,,Ingrese el nombre de la foto,
adding_description,adding_description,Add some description,Добавить описание,Додати опис,加上介绍,説明を加える,설명을 추가합니다,Agrega una descripción,
add_photo,add_photo,Add photo,Добавить фото,Додати фото,添加照片,画像を登録,사진 추가,Agregar una foto,
delete_account,delete_account,Delete account,Удалить аккаунт,Видалити аккаунт,删除帐户,退会,계정삭제,Eliminar cuenta,
ask_delete_account,ask_delete_account,Are you sure you want to delete your account? This will delete your profile and all associated data from the Djooky platform.,"Вы уверены, что хотите удалить свой аккаунт? Это приведет к удалению вашего профиля и всех связанных данных с платформы Djooky.","Ви впевнені, що хочете видалити свій обліковий запис? Це видалить ваш профіль та всі пов’язані дані з платформи Djooky.",你确定要删除您的帐户吗？ 你确定要在无界音乐平台上删除你的账户和所有相关数据吗？,本当に退会しますか？ 退会（アカウントを削除）すると、あなたのプロフィール情報、フォロー・フォロワーのリスト等、全てのDjookyデータが削除されます。,계정을 삭제하시겠습니까? 삭제되면 프로필과 모든 관련 데이터가 주키에서 삭제될 것이다.,¿Estás seguro de que deseas eliminar tu cuenta? Esto eliminará su perfil y todos los datos asociados de la plataforma Djooky.,
confirm_profile_deletion,confirm_profile_deletion,Confirm profile deletion,Подтвердить удаление профиля,Підтвердіть видалення профілю,确认账户删除,退会（アカウントを削除）,계정 삭제 확인,Confirmar eliminación de perfil,
,,,,,,,,,
,My Songs Экран,,,,,,,,
my_songs,my_songs,My songs,Мои песни,Мої пісні,我的歌曲,曲,내 노래,Mis canciones,
you_must_nominate_one_entry_song,you_must_nominate_one_entry_song,"In order to take part in Djooky Music Awards, you must nominate one  Entry song. You can change your mind and nominate another entry song rom your list up to 24 hours prior to the National Voting Round","Чтобы принять участие в Djooky Music Awards, вы должны номинировать одну песню. Вы можете передумать и номинировать другую песню из своего списка не позднее, чем за 24 часа до начала Национального голосования","Щоб взяти участь у Djooky Music Awards, ви повинні номінувати одну пісню для участі. Ви можете передумати і номінувати іншу пісню зі свого списку, не пізніше ніж за 24 години до початку Національного раунду голосування",想要参加无界音乐平台音乐奖，您必须提名一首歌曲。音乐人可以在全国决赛前24小时提名另一首歌曲。,Djooky Music Awardsに参加するのに、1エントリー曲を任じるべきです。 全国投票ラウンドの24時間前までに、気が変わってリストから別のエントリー曲を任じることができます。,Djooky Music Awards에 참여하려면 엔트리 곡 한 곡을 지명해야 한다. 생각을 바꾸면전국 투표 24시간 전까지 다른 엔트리 곡을 지명할 수 있다.,"Para participar en los Djooky Music Awards, puedes nominar una sola canción de entrada. Puedes cambiar de opinión y nominar otra canción de entrada de su lista hasta 24 horas antes de la Ronda Nacional de Votación.",
add_song,add_song,Add song,Добавить песню,Додати пісню,添加歌曲,曲が追加,노래를 축하하기,Agregar una cancion,
nominate,nominate,Nominate,Номинировать,Номінувати,提名您的歌曲,ノミネート,지명합니다,Nominar,
cancel_nomination,Cancel nomination,Cancel nomination,Отменить номинацию,Скасувати номінацію,取消提名,指名をキャンセルする,지명 취소,Cancelar nominación,
,,,,,,,,,
,Adding Song Экран,,,,,,,,
adding_songs,adding_song,ADDING SONG,Добавить песню,ДОДАВАННЯ ПІСНІ,添加歌曲,楽曲アップロード',노래 추가,Agregar canción,
album_cover,,Album Cover,Обложка альбома,Обкладинка альбому,专辑封面,アルバムカバー,음반 커버,Portada del álbum,
,,Invalid album cover,Неправильная обложка альбома,Недійсна обкладинка альбому,无效的专辑封面,無効なアルバムカバー,잘못된 앨범 표지입니다,Portada del álbum inválida,
,,Invalid file,Неправильный файл,Недійсний файл,无效的文件,無効なファイル,잘못된 파일입니다,Título de la canción inválido,
,,Invalid song title,Неправильное название песни,Недійсна назва пісні,无效的歌曲名,無効な曲名,잘못된 노래 제목입니다,Archivo inválido,
,,Invalid genre,Неправильный жанр,Недійсний жанр,无效的音乐类,無効なジャンル,잘못된 장르입니다,Género inválido,
song_file,song_file,Song file,Файл песни,Файл пісні,歌曲文件,ソングファイル,노래 파일,Archivo de canción,
